player_name,country,tour,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Stallings, Scott",0,0,9,0,0,0,24,20,-0.4880925,0.1892005,0.486472,-0.266169,0.4095035,-0.052735833
"Syme, Connor",0,0,14,0,0,0,50,24,-0.007402917,-0.330785417,0.0847825,-0.0155025,-0.261505417,-0.0556996
"Gabrelcik, Nick",0,0,10,1,0,0,29,2,-0.479145,-1.67399,-0.30349,0.263925,-1.713555,-0.056848966
"Svensson, Jesper",0,0,15,1,0.009,0,53,22,0.294726818,-0.351536364,-0.433560909,0.75524,-0.029857273,-0.058142264
"Fisk, Steven",#N/A,#N/A,11,1,0.001,0,36,0,-9999,-9999,-9999,-9999,-9999,-0.062556944
"Davis, Cameron",0,0,16,0,0,0.001,58,47,-0.038586383,-0.166016809,0.243428936,-0.015106383,0.062305745,-0.062630172
"Baddeley, Aaron",0,0,14,0,0,0,47,35,0.738506857,0.507745429,-0.507439714,-0.858215714,-0.85791,-0.068995106
"Del Solar, Cristobal",0,0,14,0,0.001,0,50,4,-0.70722,0.086065,-0.0502025,0.4904975,0.52636,-0.0739562
"Campillo, Jorge",0,0,17,0,0.001,0,58,48,-0.052763125,0.251812083,-0.118854167,-0.2206175,-0.087659583,-0.079024483
"Summerhays, Daniel",#N/A,#N/A,10,0,0,0,34,0,-9999,-9999,-9999,-9999,-9999,-0.083078235
"Bairstow, Sam",0,0,16,0,0.003,0,55,18,0.599518333,-0.398795,0.149368889,-0.066139444,-0.315565556,-0.088535636
"Gandon, Jeremy",#N/A,#N/A,6,0,0,0,20,0,-9999,-9999,-9999,-9999,-9999,-0.092438
"Paul, Yannik",0,0,12,0,0,0,41,24,-0.333644167,-0.25107625,0.49502,-0.18465375,0.05929,-0.099400488
"Roy, Kevin",0,0,12,0,0.017,0,39,4,0.3695,0.947815,0.2691875,-0.000425,1.2165775,-0.101555641
"Lahiri, Anirban",0,0,10,0,0,0,28,0,-9999,-9999,-9999,-9999,-9999,-0.107749286
"Velo, Kevin",0,0,13,1,0.003,0,46,0,-9999,-9999,-9999,-9999,-9999,-0.109888043
"Franks, Nathan",#N/A,#N/A,4,2,0,0,12,0,-9999,-9999,-9999,-9999,-9999,-0.10991
"Campbell, Brian",0,0,13,0,0.001,0,48,0,-9999,-9999,-9999,-9999,-9999,-0.125583542
"Greyserman, Max",0,0,14,0,0.006,0,41,30,0.004863,-0.105293333,-0.003876,-0.246388,-0.355557333,-0.129327561
"Valimaki, Sami",0,0,14,0,0.033,0,41,37,0.006439189,-0.182501892,0.002434865,0.228535676,0.048468649,-0.13011439
"Alker, Steven",0,0,10,1,0.022,0,28,0,-9999,-9999,-9999,-9999,-9999,-0.130376429
"Kraft, Kelly",#N/A,#N/A,4,0,0,0,12,10,-0.02303,-0.526498,0.824957,0.043833,0.342292,-0.138480833
"Ryder, Sam",0,0,15,0,0.004,0,45,36,0.138821944,-0.274130833,0.239732222,-0.409610278,-0.444008889,-0.153833111
"Vegas, Jhonattan",0,0,13,0,0,0,39,25,-0.6556084,-0.3067184,0.1524752,0.5566252,0.402382,-0.18592641
